1 inguid1: Waypoint/line guidance against GPS target coordinates ' Missile ' May 17 2021 03:43:47
  0  0 40
time            FSPV1           FSPV2           FSPV3           pdynmc          
mach            lonx            latx            alt             dvbe            
psivgx          thtvgx          SBEG1           SBEG2           SBEG3           
VBEG1           VBEG2           VBEG3           mprop           cg              
thrust          cl_ov_cd        psivgcx         thtvgcx         anx             
avx             alphax          phimvx          phicx           phix            
qq              tip             alp             ancomx          alcomx          
alx             altd            altcom          wp_grdrange     wp_flag         
0.634511        45.0402         35.028          1962.37         211.071         
23.3061         5.55568         3116.72         3639.42         -962.37         
192.938         83.1164         -20.4344        6               135.427         
1818.43         -2.5151         0               0               -0.415065       
0               -2.87778        -21.2893        -23.304         -21.2893        
-0.00993825     1.29012         -0.0502268      0.0731005       0.0846136       
0.150919        20.4344         2000            16847.5         0               
23.5            0.834225        0.614916        0.938659        22475.5         
0.634357        45.0406         35.0289         1971            211.023         
23.4569         3.89573         3213.23         3681.17         -971.003        
193.137         83.8056         -14.3371        6               135.425         
1817.28         -0.777956       0               0               -0.111438       
0               -1.78555        -37.0177        -92.5456        -37.0177        
0.0210394       1.29183         -0.0311637      0.532905        0.0908062       
0.0626591       14.3371         2000            16745.1         0               
24              1.01589         0.57338         -2.45759        22496.6         
0.634899        45.0411         35.0298         1976.98         211.207         
23.4626         2.6781          3309.9          3723.13         -976.982        
193.533         84.0006         -9.8686         6               135.423         
1816.4          2.18329         0               0               0.258284        
0               -0.520918       17.7542         53.0157         17.7542         
0.0319504       1.29173         -0.00909173     0.732956        0.119958        
0.0584267       9.8686          2000            16642.4         0               
24.5            1.07612         2.70739         -5.19864        22554.2         
0.635881        45.0415         35.0306         1981.12         211.534         
23.7118         1.86723         3406.69         3765.34         -981.116        
193.573         85.0202         -6.89251        6               135.421         
1815.71         5.28121         0               0               0.596224        
0               0.639801        26.9638         21.3707         26.9638         
0.043889        1.29043         0.0111666       0.981638        0.111379        
0.27588         6.89251         2000            16539.6         0               
25              1.05516         2.77033         -7.88305        22629.2         
0.637059        45.042          35.0315         1984.12         211.921         
24.1041         1.44033         3503.44         3808.22         -984.116        
193.381         86.5201         -5.32683        6               135.418         
1815.15         7.37455         0               0               0.848553        
0               1.46102         18.4951         10.7977         18.4951         
0.0392904       1.28853         0.0254997       0.994131        0.0800511       
0.282294        5.32683         2000            16436.4         0               
25.5            1.02442         1.99785         -9.33078        22708.1         
0.638269        45.0425         35.0324         1986.62         212.317         
24.4312         1.29844         3600.09         3851.82         -986.62         
193.256         87.7918         -4.81112        6               135.416         
1814.66         8.19792         0               0               0.968571        
0               1.82673         11.5499         6.90805         11.5499         
0.0304744       1.28648         0.0318824       0.937753        0.0584497       
0.20358         4.81112         2000            16332.9         0               
26              1.01683         1.3859          -9.60992        22786.8         
0.639469        45.043          35.0332         1988.99         212.71          
24.6589         1.26832         3696.71         3895.96         -988.995        
193.265         88.7239         -4.70823        6               135.414         
1814.19         8.29039         0               0               0.98549         
0               1.85138         7.97965         6.06592         7.97965         
0.0219525       1.28443         0.0323126       0.865044        0.05222         
0.141222        4.70823         2000            16229.1         0               
26.5            1.02585         1.11892         -9.22037        22866.2         
0.640675        45.0435         35.0341         1991.32         213.106         
24.8276         1.22515         3793.37         3940.51         -991.319        
193.365         89.4602         -4.55648        6               135.412         
1813.73         7.99715         0               0               0.942905        
0               1.68813         6.89072         6.70786         6.89072         
0.0160114       1.28238         0.0294634       0.806904        0.0552534       
0.114018        4.55648         2000            16125.1         0               
27              1.03662         1.08505         -8.62473        22948.4         
0.641913        45.044          35.035          1993.51         213.513         
24.9773         1.11144         3890.09         3985.41         -993.506        
193.508         90.1408         -4.14151        6               135.41          
1813.28         7.56011         0               0               0.882717        
0               1.47875         7.2461          7.95834         7.2461          
0.0136532       1.28026         0.0258091       0.782758        0.0613739       
0.110566        4.14151         2000            16020.8         0               
27.5            1.04163         1.16274         -8.15309        23034.7         
0.643197        45.0445         35.0358         1995.41         213.937         
25.1307         0.923567        3986.88         4030.65         -995.413        
193.661         90.844          -3.44836        6               135.408         
1812.86         7.19867         0               0               0.836497        
0               1.32591         8.22216         9.17307         8.22216         
0.0146469       1.27802         0.0231415       0.797025        0.0670417       
0.118483        3.44836         2000            15916.4         0               
28              1.04049         1.27706         -7.97935        23126.2         
0.644535        45.045          35.0367         1996.93         214.38          
25.2973         0.691796        4083.75         4076.26         -996.926        
193.807         91.6012         -2.58839        6               135.406         
1812.48         7.05964         0               0               0.820867        
0               1.27969         9.17229         9.86444         9.17229         
0.0178751       1.27563         0.0223348       0.840969        0.0707492       
0.130132        2.58839         2000            15811.6         0               
28.5            1.03453         1.38217         -8.12874        23222.9         
0.645926        45.0455         35.0376         1998            214.841         
25.4786         0.459264        4180.68         4122.27         -998.001        
193.941         92.4163         -1.72208        6               135.404         
1812.16         7.16727         0               0               0.83753         
0               1.3401          9.67463         9.86785         9.67463         
0.0218644       1.27308         0.0233891       0.89842         0.0722086       
0.140842        1.72208         2000            15706.6         0               
29              1.02437         1.44884         -8.51497        23324           
0.647359        45.046          35.0385         1998.67         215.317         
25.6712         0.264237        4277.68         4168.69         -998.671        
194.062         93.2759         -0.992999       6               135.401         
1811.88         7.44223         0               0               0.877203        
0               1.47223         9.63128         9.38438         9.63128         
0.0253228       1.27041         0.0256952       0.952859        0.0719197       
0.147637        0.992999        2000            15601.4         0               
29.5            1.0111          1.46814         -8.9978         23428.1         
0.648817        45.0465         35.0393         1999.03         215.802         
25.8691         0.128989        4374.74         4215.54         -999.031        
194.177         94.1578         -0.485831       6               135.399         
1811.64         7.76612         0               0               0.92573         
0               1.62765         9.21645         8.75503         9.21645         
0.0274936       1.26764         0.0284078       0.992929        0.0708041       
0.149602        0.485831        2000            15495.8         0               
30              0.997088        1.45195         -9.44328        23533.6         
0.650283        45.047          35.0402         1999.2          216.289         
26.0666         0.0568149       4471.86         4262.84         -999.197        
194.289         95.0406         -0.214474       6               135.397         
1811.42         8.0425          0               0               0.970013        
0               1.76355         8.68976         8.23204         8.68976         
0.0282097       1.26475         0.0307798       1.01433         0.0697557       
0.147953        0.214474        2000            15390           0               
30.5            0.984933        1.42141         -9.76321        23639           
0.651742        45.0475         35.0411         1999.28         216.773         
26.2603         0.0361888       4569.03         4310.58         -999.278        
194.401         95.9113         -0.136917       6               135.395         
1811.22         8.22115         0               0               1.0016          
0               1.85306         8.24621         7.9208          8.24621         
0.0277262       1.26145         0.032342        1.01864         0.0693017       
0.144841        0.136917        2000            15283.9         0               
31              0.976935        1.394           -9.92151        23743.8         
0.653188        45.0481         35.042          1999.35         217.254         
26.4496         0.0472114       4666.26         4358.75         -999.354        
194.513         96.767          -0.179015       6               135.393         
1811.02         8.29398         0               0               1.01709         
0               1.8891          7.98006         7.82925         7.98006         
